INFO : 2021-08-27 10:51:20,655 : Generated dir raw_data/2019-20
INFO : 2021-08-27 12:26:43,242 : SUCCESS : Dusty Hannahs = (11, 20) = 1628605.csv
ERROR : 2021-08-27 12:27:57,686 : Dwayne Bacon = No tables found
ERROR : 2021-08-27 12:27:57,686 : Trying again...
INFO : 2021-08-27 12:28:32,737 : SUCCESS : Dwayne Bacon = (283, 20) = 1628407.csv
INFO : 2021-08-27 12:29:11,380 : SUCCESS : Dwight Howard = (356, 20) = 2730.csv
INFO : 2021-08-27 12:29:47,039 : SUCCESS : Dwight Powell = (259, 20) = 203939.csv
INFO : 2021-08-27 12:30:25,055 : SUCCESS : Dzanan Musa = (230, 20) = 1629058.csv
INFO : 2021-08-27 12:31:04,714 : SUCCESS : E'Twaun Moore = (298, 20) = 202734.csv
INFO : 2021-08-27 12:31:40,882 : SUCCESS : Ed Davis = (177, 20) = 202334.csv
INFO : 2021-08-27 12:32:27,018 : SUCCESS : Edmond Sumner = (208, 20) = 1628410.csv
INFO : 2021-08-27 12:33:07,101 : SUCCESS : Elfrid Payton = (287, 20) = 203901.csv
ERROR : 2021-08-27 12:38:10,408 : Elie Okobo = Message: timeout: Timed out receiving message from renderer: 298.512
  (Session info: chrome=92.0.4515.159)

ERROR : 2021-08-27 12:38:10,409 : Trying again...
INFO : 2021-08-27 12:38:50,801 : SUCCESS : Elie Okobo = (313, 20) = 1629059.csv
INFO : 2021-08-27 12:39:19,629 : SUCCESS : Emmanuel Mudiay = (302, 20) = 1626144.csv
INFO : 2021-08-27 12:40:23,029 : SUCCESS : Enes Kanter = (326, 20) = 202683.csv
INFO : 2021-08-27 12:40:54,934 : SUCCESS : Eric Bledsoe = (346, 20) = 202339.csv
INFO : 2021-08-27 12:41:31,543 : SUCCESS : Eric Gordon = (242, 20) = 201569.csv
INFO : 2021-08-27 12:41:58,982 : SUCCESS : Eric Mika = (13, 20) = 1628450.csv
INFO : 2021-08-27 12:42:45,329 : SUCCESS : Eric Paschall = (357, 20) = 1629672.csv
INFO : 2021-08-27 12:43:21,803 : SUCCESS : Ersan Ilyasova = (339, 20) = 101141.csv
