INFO : 2021-08-26 20:51:38,146 : Dir raw_data/2017-18 already exists
DEBUG : 2021-08-26 20:51:49,881 : Finished Request
DEBUG : 2021-08-26 20:51:49,881 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/4e6dae1d-bfdb-47e0-b0f5-bba6e4d78d7e/text {"id": "4e6dae1d-bfdb-47e0-b0f5-bba6e4d78d7e"}
DEBUG : 2021-08-26 20:51:49,897 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/4e6dae1d-bfdb-47e0-b0f5-bba6e4d78d7e/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,898 : Finished Request
DEBUG : 2021-08-26 20:51:49,898 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/ef76c7f5-60ca-487f-819e-cac38e9b3237/text {"id": "ef76c7f5-60ca-487f-819e-cac38e9b3237"}
DEBUG : 2021-08-26 20:51:49,914 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/ef76c7f5-60ca-487f-819e-cac38e9b3237/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,914 : Finished Request
DEBUG : 2021-08-26 20:51:49,914 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/4c3c4e2c-1047-4408-99e2-1ecf707633bf/text {"id": "4c3c4e2c-1047-4408-99e2-1ecf707633bf"}
DEBUG : 2021-08-26 20:51:49,926 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/4c3c4e2c-1047-4408-99e2-1ecf707633bf/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,927 : Finished Request
DEBUG : 2021-08-26 20:51:49,927 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/377327f8-5564-4e09-bf5b-7a24de306030/text {"id": "377327f8-5564-4e09-bf5b-7a24de306030"}
DEBUG : 2021-08-26 20:51:49,939 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/377327f8-5564-4e09-bf5b-7a24de306030/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,940 : Finished Request
DEBUG : 2021-08-26 20:51:49,940 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/0481ff54-1820-44f3-a505-77bc36ce3198/text {"id": "0481ff54-1820-44f3-a505-77bc36ce3198"}
DEBUG : 2021-08-26 20:51:49,955 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/0481ff54-1820-44f3-a505-77bc36ce3198/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,955 : Finished Request
DEBUG : 2021-08-26 20:51:49,955 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/326adf90-3d8c-4967-b3f6-50bc01806315/text {"id": "326adf90-3d8c-4967-b3f6-50bc01806315"}
