INFO : 2021-08-27 10:05:46,486 : Dir raw_data/2017-18 already exists
INFO : 2021-08-27 10:47:41,344 : SUCCESS : Isaiah Hicks = (122, 20) = 1628439.csv
INFO : 2021-08-27 10:47:54,553 : SUCCESS : Isaiah Taylor = (331, 20) = 1627819.csv
INFO : 2021-08-27 10:48:06,703 : SUCCESS : Isaiah Thomas = (182, 20) = 202738.csv
INFO : 2021-08-27 10:48:18,389 : SUCCESS : Isaiah Whitehead = (100, 20) = 1627785.csv
INFO : 2021-08-27 10:48:44,005 : SUCCESS : Ish Smith = (379, 20) = 202397.csv
INFO : 2021-08-27 10:48:54,863 : SUCCESS : Ivan Rabb = (257, 20) = 1628397.csv
INFO : 2021-08-27 10:49:05,062 : SUCCESS : Ivica Zubac = (237, 20) = 1627826.csv
INFO : 2021-08-27 10:49:18,319 : SUCCESS : J.J. Barea = (354, 20) = 200826.csv
INFO : 2021-08-27 10:49:29,386 : SUCCESS : JJ Redick = (353, 20) = 200755.csv
INFO : 2021-08-27 10:49:42,640 : SUCCESS : JR Smith = (340, 20) = 2747.csv
INFO : 2021-08-27 10:49:53,933 : SUCCESS : JaKarr Sampson = (149, 20) = 203960.csv
INFO : 2021-08-27 10:50:10,726 : SUCCESS : JaMychal Green = (326, 20) = 203210.csv
INFO : 2021-08-27 10:50:44,637 : SUCCESS : JaVale McGee = (295, 20) = 201580.csv
INFO : 2021-08-27 10:51:01,533 : SUCCESS : Jabari Bird = (72, 20) = 1628444.csv
INFO : 2021-08-27 10:51:21,438 : SUCCESS : Jabari Parker = (227, 20) = 203953.csv
INFO : 2021-08-27 10:51:44,301 : SUCCESS : Jack Cooley = (57, 20) = 204022.csv
INFO : 2021-08-27 10:52:06,924 : SUCCESS : Jacob Pullen = (12, 20) = 1626643.csv
INFO : 2021-08-27 10:52:37,458 : SUCCESS : Jacob Wiley = (22, 20) = 1628451.csv
INFO : 2021-08-27 10:53:09,220 : SUCCESS : Jae Crowder = (345, 20) = 203109.csv
INFO : 2021-08-27 10:53:38,748 : SUCCESS : Jahlil Okafor = (184, 20) = 1626143.csv
INFO : 2021-08-27 10:54:20,737 : SUCCESS : Jake Layman = (148, 20) = 1627774.csv
INFO : 2021-08-27 10:54:59,314 : SUCCESS : Jakob Poeltl = (369, 20) = 1627751.csv
INFO : 2021-08-27 10:55:35,447 : SUCCESS : Jalen Jones = (94, 20) = 1627883.csv
INFO : 2021-08-27 10:56:16,029 : SUCCESS : Jamal Crawford = (362, 20) = 2037.csv
INFO : 2021-08-27 10:56:54,812 : SUCCESS : Jamal Murray = (361, 20) = 1627750.csv
INFO : 2021-08-27 10:57:28,584 : SUCCESS : Jameel Warney = (23, 20) = 1627866.csv
INFO : 2021-08-27 10:58:20,521 : SUCCESS : Jameer Nelson = (315, 20) = 2749.csv
INFO : 2021-08-27 10:58:56,734 : SUCCESS : Jamel Artis = (121, 20) = 1628503.csv
INFO : 2021-08-27 10:59:32,774 : SUCCESS : James Ennis III = (362, 20) = 203516.csv
INFO : 2021-08-27 11:00:07,040 : SUCCESS : James Harden = (361, 20) = 201935.csv
INFO : 2021-08-27 11:00:40,937 : SUCCESS : James Johnson = (344, 20) = 201949.csv
INFO : 2021-08-27 11:01:06,567 : SUCCESS : James Michael McAdoo = (19, 20) = 203949.csv
INFO : 2021-08-27 11:01:40,388 : SUCCESS : James Webb III = (69, 20) = 1627821.csv
INFO : 2021-08-27 11:02:17,266 : SUCCESS : James Young = (41, 20) = 203923.csv
INFO : 2021-08-27 11:03:01,399 : SUCCESS : Jamil Wilson = (113, 20) = 203966.csv
INFO : 2021-08-27 11:03:34,378 : SUCCESS : Jared Dudley = (283, 20) = 201162.csv
INFO : 2021-08-27 11:04:06,522 : SUCCESS : Jarell Eddie = (14, 20) = 204067.csv
INFO : 2021-08-27 11:04:30,806 : SUCCESS : Jarell Martin = (360, 20) = 1626185.csv
INFO : 2021-08-27 11:05:24,279 : SUCCESS : Jarrett Allen = (320, 20) = 1628386.csv
INFO : 2021-08-27 11:05:57,908 : SUCCESS : Jarrett Jack = (311, 20) = 101127.csv
INFO : 2021-08-27 11:06:28,615 : SUCCESS : Jason Smith = (193, 20) = 201160.csv
INFO : 2021-08-27 11:07:00,919 : SUCCESS : Jason Terry = (288, 20) = 1891.csv
INFO : 2021-08-27 11:07:45,536 : SUCCESS : Jawun Evans = (291, 20) = 1628393.csv
INFO : 2021-08-27 11:08:24,032 : SUCCESS : Jaylen Brown = (344, 20) = 1627759.csv
INFO : 2021-08-27 11:08:51,173 : SUCCESS : Jaylen Morris = (49, 20) = 1628537.csv
INFO : 2021-08-27 11:09:34,918 : SUCCESS : Jayson Tatum = (362, 20) = 1628369.csv
INFO : 2021-08-27 11:10:17,293 : SUCCESS : Jeff Green = (357, 20) = 201145.csv
INFO : 2021-08-27 11:11:07,802 : SUCCESS : Jeff Teague = (352, 20) = 201952.csv
INFO : 2021-08-27 11:11:31,292 : SUCCESS : Jeff Withey = (44, 20) = 203481.csv
INFO : 2021-08-27 11:12:04,225 : SUCCESS : Jerami Grant = (364, 20) = 203924.csv
INFO : 2021-08-27 11:12:38,024 : SUCCESS : Jeremy Evans = (5, 20) = 202379.csv
INFO : 2021-08-27 11:13:20,454 : SUCCESS : Jeremy Lamb = (369, 20) = 203087.csv
INFO : 2021-08-27 11:13:53,269 : SUCCESS : Jeremy Lin = (8, 20) = 202391.csv
INFO : 2021-08-27 11:14:41,792 : SUCCESS : Jerian Grant = (362, 20) = 1626170.csv
INFO : 2021-08-27 11:15:20,270 : SUCCESS : Jerryd Bayless = (248, 20) = 201573.csv
INFO : 2021-08-27 11:15:55,901 : SUCCESS : Jimmy Butler = (341, 20) = 202710.csv
INFO : 2021-08-27 11:16:27,968 : SUCCESS : Joakim Noah = (45, 20) = 201149.csv
INFO : 2021-08-27 11:17:04,470 : SUCCESS : Jodie Meeks = (367, 20) = 201975.csv
INFO : 2021-08-27 11:17:53,516 : SUCCESS : Joe Harris = (362, 20) = 203925.csv
INFO : 2021-08-27 11:18:31,931 : SUCCESS : Joe Ingles = (372, 20) = 204060.csv
INFO : 2021-08-27 11:19:17,885 : SUCCESS : Joe Johnson = (309, 20) = 2207.csv
INFO : 2021-08-27 11:19:54,244 : SUCCESS : Joe Young = (274, 20) = 1626202.csv
INFO : 2021-08-27 11:20:24,163 : SUCCESS : Joel Bolomboy = (34, 20) = 1627762.csv
INFO : 2021-08-27 11:21:04,091 : SUCCESS : Joel Embiid = (347, 20) = 203954.csv
INFO : 2021-08-27 11:21:35,415 : SUCCESS : Joffrey Lauvergne = (270, 20) = 203530.csv
INFO : 2021-08-27 11:22:10,089 : SUCCESS : John Collins = (377, 20) = 1628381.csv
ERROR : 2021-08-27 11:22:42,348 : John Henson = No tables found
ERROR : 2021-08-27 11:22:42,348 : Trying again...
INFO : 2021-08-27 11:23:21,928 : SUCCESS : John Henson = (338, 20) = 203089.csv
INFO : 2021-08-27 11:23:52,891 : SUCCESS : John Holland = (111, 20) = 204066.csv
INFO : 2021-08-27 11:24:32,404 : SUCCESS : John Wall = (272, 20) = 202322.csv
INFO : 2021-08-27 11:25:01,956 : SUCCESS : Johnathan Motley = (72, 20) = 1628405.csv
INFO : 2021-08-27 11:25:39,580 : SUCCESS : Johnny O'Bryant III = (218, 20) = 203948.csv
