player,season,POSS,adj_usg_rank,Big Freq%,Wing Freq%,Forward Freq%,Guard Freq%,score,versatility_score_rank,height,weight,adj_usg_rank_guard,adj_usg_rank_wing,adj_usg_rank_forward,adj_usg_rank_big
David Nwaba,2019-20,379.0,0.46502835538752363,0.10158311345646438,0.3519788918205805,0.3686015831134564,0.17783641160949865,1.2744219059172381,0.7958412098298677,78.2137203166227,215.73614775725594,0.7737642585551331,0.21631878557874762,0.5822306238185255,0.4904580152671756
Davis Bertans,2019-20,2262.8,0.3516068052930057,0.13982676330210356,0.2812002828354251,0.4607123917270638,0.11826056213540746,1.2409577094619255,0.5897920604914934,78.79414884214248,220.02602969771962,0.3650190114068441,0.41366223908918404,0.34215500945179583,0.4580152671755725
De'Aaron Fox,2019-20,2232.8,0.8638941398865785,0.06897169473307059,0.29881762809029017,0.15299175922608382,0.4792189179505552,1.1847175411147532,0.2684310018903592,76.15670906485131,203.3920637764242,0.6501901140684411,0.8102466793168881,0.8941398865784499,0.6717557251908397
De'Andre Hunter,2019-20,2852.5,0.8260869565217391,0.11537248028045577,0.3396669588080632,0.42524101665205966,0.11971954425942158,1.2332665283994602,0.5293005671077504,78.4996319018405,217.47390008764248,0.6958174904942965,0.6925996204933587,0.9187145557655955,0.8473282442748091
De'Anthony Melton,2019-20,1662.0,0.9092627599243857,0.08381468110709987,0.36173285198555954,0.16468110709987968,0.3897713598074609,1.239500075600582,0.5803402646502835,76.71305655836342,206.63134777376658,0.8022813688212928,0.9506641366223909,0.724007561436673,0.3511450381679389
DeAndre Jordan,2019-20,1700.4,0.31001890359168244,0.47665255234062587,0.13879087273582688,0.2828158080451659,0.10174076687838157,1.2165623910396979,0.42722117202268434,80.5355210538697,234.6649611856034,0.49429657794676807,0.286527514231499,0.2684310018903592,0.30916030534351147
DeAndre' Bembry,2019-20,1283.1,0.9054820415879017,0.09251032655287976,0.4112695814823475,0.21939053853947468,0.2768295534252981,1.2735714303126513,0.7939508506616257,77.31190086509235,211.07099992206372,0.7357414448669202,0.9658444022770398,0.7901701323251418,0.6545801526717557
DeMar DeRozan,2019-20,3076.6,0.7731568998109641,0.10680621465253856,0.310245075732952,0.437983488266268,0.14496522134824158,1.2431598811172964,0.6011342155009451,78.42059416238708,218.49164662289544,0.6311787072243346,0.3681214421252372,0.9035916824196597,0.8931297709923665
DeMarre Carroll,2019-20,414.4,0.16446124763705103,0.13875482625482627,0.3993725868725869,0.3388030888030888,0.12306949806949807,1.2647458838142887,0.7315689981096408,78.45994208494209,217.4712837837838,0.13498098859315588,0.17267552182163187,0.28166351606805295,0.15648854961832062
Dean Wade,2019-20,101.6,0.08695652173913043,0.09645669291338581,0.3139763779527559,0.5275590551181102,0.06200787401574802,1.0986853087253576,0.08695652173913043,78.93897637795274,225.48917322834643,0.14068441064638784,0.026565464895635674,0.21172022684310018,0.15458015267175573
Deandre Ayton,2019-20,1677.5,0.7391304347826086,0.5071236959761549,0.11564828614008942,0.2763636363636364,0.10086438152011921,1.1802087434848865,0.2533081285444234,80.77448584202683,234.93335320417285,0.6463878326996197,0.683111954459203,0.8563327032136105,0.6793893129770993
Dejounte Murray,2019-20,2243.4,0.9659735349716446,0.08429170009806544,0.25479183382366055,0.19465989123651603,0.46625657484175814,1.23079618530279,0.5122873345935728,76.47205135062853,205.7101720602657,0.8612167300380228,0.9392789373814042,0.9659735349716446,0.9026717557251909
Delon Wright,2019-20,2124.4,0.7013232514177694,0.06189983054038787,0.4001600451892298,0.1930427414799473,0.3448973827904349,1.2229943193271364,0.46502835538752363,76.73870269252495,204.9810770099793,0.532319391634981,0.7912713472485768,0.4102079395085066,0.5858778625954199
Dennis Schroder,2019-20,2726.0,0.7448015122873346,0.05880410858400585,0.30300807043286865,0.1739545121056493,0.46423330887747616,1.188492053373282,0.29300567107750475,76.27435803374907,204.34735876742477,0.37832699619771865,0.8538899430740038,0.6729678638941399,0.7690839694656488
Dennis Smith Jr.,2019-20,723.2,0.7996219281663516,0.06706305309734512,0.28166482300884954,0.12223451327433627,0.5290376106194689,1.1314427746912277,0.14177693761814744,75.90016592920354,205.10218473451326,0.4505703422053232,0.7798861480075902,0.8638941398865785,0.8396946564885496
Denzel Valentine,2019-20,649.0,0.24196597353497165,0.05377503852080123,0.4662557781201849,0.3449922958397535,0.1349768875192604,1.1500085417848944,0.18147448015122875,77.75762711864408,212.05731895223423,0.46577946768060835,0.2618595825426945,0.24574669187145556,0.24236641221374045
Deonte Burton,2019-20,510.1,0.15689981096408318,0.08429719662811212,0.2795530288178788,0.41972162321113504,0.2164281513428739,1.2600389767421154,0.7164461247637051,77.98784552048619,215.17231915310725,0.11216730038022814,0.1461100569259962,0.21928166351606806,0.25572519083969464
Derrick Favors,2019-20,1769.2,0.6956521739130435,0.5678272665611577,0.11236717160298441,0.24779561383676244,0.07200994799909564,1.1017549022935522,0.09262759924385633,81.20020348179969,240.43895546009497,0.8555133079847909,0.7533206831119544,0.7013232514177694,0.6908396946564885
Derrick Jones Jr.,2019-20,1895.6,0.945179584120983,0.16438067102764295,0.2671449672926777,0.31446507702046844,0.25400928465921085,1.360912088566588,0.998109640831758,78.0350812407681,215.10951677569105,0.9904942965779467,0.8368121442125237,0.8714555765595463,0.9656488549618321
