player,season,POSS,adj_usg_rank,freq_gte82,freq_lte78,freq_lte81,freq_lte75,poss_lte78,poss_lte81,poss_lte75,poss_gte82,poss,versatility_score_rank,height,weight
Brodric Thomas,2020-21,532.6,0.2816326530612245,0.06853173113030415,0.3417198648141194,0.19977469019902364,0.3899737138565528,182.0,106.39999999999999,207.70000000000002,36.49999999999999,532.6,0.4673469387755102,76.4799098760796,203.2393916635374
Brook Lopez,2020-21,2713.6,0.7571428571428571,0.49734669811320764,0.11899321933962266,0.29768573113207547,0.08597435141509435,322.90000000000003,807.8,233.3,1349.6000000000001,2713.6,0.14489795918367346,80.71266951650945,238.09290241745285
Bruce Brown,2020-21,1949.2,0.9163265306122449,0.1025035912169095,0.3374717832957111,0.28616868458854916,0.2738559408988303,657.8,557.8,533.8,199.79999999999998,1949.1999999999998,0.8959183673469387,77.55602298378824,212.26523702031605
Bruno Caboclo,2020-21,52.4,,0.36450381679389315,0.2347328244274809,0.2194656488549618,0.18129770992366412,12.299999999999999,11.499999999999998,9.5,19.1,52.4,,79.70229007633587,221.22137404580153
Bruno Fernando,2020-21,311.2,0.0836734693877551,0.4325192802056555,0.14010282776349614,0.3457583547557841,0.08161953727506427,43.599999999999994,107.60000000000001,25.4,134.6,311.2,0.2897959183673469,80.42705655526993,235.22493573264782
Bryn Forbes,2020-21,1914.2,0.18571428571428572,0.0584056002507575,0.46097586459095186,0.19256086093407168,0.28805767422421896,882.4,368.59999999999997,551.3999999999999,111.8,1914.1999999999998,0.23469387755102042,76.88956221920385,206.43553442691467
Buddy Hield,2020-21,3334.5,0.7020408163265306,0.07797270955165694,0.463697705802969,0.25446093867146496,0.2038686459739091,1546.2,848.4999999999999,679.8,260.00000000000006,3334.5,0.3979591836734694,77.5713600239916,211.3746888588994
CJ Elleby,2020-21,271.9,0.04081632653061224,0.07134976094152262,0.3972048547260023,0.2379551305627069,0.29349025376976834,108.00000000000001,64.7,79.80000000000001,19.4,271.9,0.5979591836734693,77.06546524457521,206.9801397572637
CJ McCollum,2020-21,2157.9,0.6265306122448979,0.060197414152648406,0.41628435052597423,0.24505306084619308,0.27846517447518426,898.2999999999998,528.8000000000001,600.9000000000001,129.9,2157.9,0.44081632653061226,77.05658278882245,208.01645117938733
Caleb Martin,2020-21,1094.9,0.4163265306122449,0.11471367248150516,0.3220385423326331,0.2918074710019179,0.27144031418394376,352.6,319.49999999999994,297.20000000000005,125.60000000000001,1094.9,0.9448979591836735,77.56553109873047,212.2471458580692
Cam Reddish,2020-21,1042.1,0.9959183673469387,0.15248056808367721,0.3426734478456962,0.24114768256405342,0.26369830150657325,357.09999999999997,251.30000000000004,274.79999999999995,158.9,1042.1,0.9877551020408163,77.74925630937531,216.2655215430381
Cameron Johnson,2020-21,1869.7,0.463265306122449,0.10680857891640372,0.36353425683264695,0.3830026207412954,0.14665454350965396,679.6999999999999,716.0999999999999,274.2,199.70000000000002,1869.6999999999998,0.5877551020408164,78.20725250040114,216.61282558699259
Cameron Oliver,2020-21,121.2,0.15918367346938775,0.3853135313531354,0.1212871287128713,0.37128712871287134,0.12211221122112213,14.7,45.0,14.8,46.7,121.19999999999999,0.536734693877551,79.59900990099011,235.7260726072608
Cameron Payne,2020-21,1394.2,0.3306122448979592,0.0586716396499785,0.3680963993688137,0.16568641514847227,0.4075455458327357,513.2,231.0,568.2,81.80000000000001,1394.1999999999998,0.23061224489795917,76.44254769760438,204.23203270692872
Cameron Reynolds,2020-21,55.4,,0.08122743682310468,0.4314079422382671,0.3935018050541516,0.09386281588447652,23.900000000000002,21.8,5.2,4.5,55.400000000000006,,78.45848375451263,219.81407942238266
Caris LeVert,2020-21,2103.7,0.6530612244897959,0.10491039596900702,0.3756714360412607,0.2631078575842563,0.256310310405476,790.3000000000001,553.5,539.1999999999998,220.70000000000005,2103.7,0.863265306122449,77.58748871036745,210.0646955364358
Carmelo Anthony,2020-21,2250.1,0.2857142857142857,0.1591929247588996,0.3346517932536332,0.3950491089284921,0.11110617305897516,753.0,888.9000000000001,250.0,358.2,2250.1,0.6877551020408164,78.84467357006355,220.1235500644416
Carsen Edwards,2020-21,371.7,0.27346938775510204,0.0511164917944579,0.47403820285176224,0.22033898305084748,0.2545063223029325,176.2,81.89999999999999,94.6,19.0,371.69999999999993,0.17959183673469387,77.23244552058112,207.25773473231104
Cassius Stanley,2020-21,130.6,0.00816326530612245,0.0681470137825421,0.42879019908116384,0.2656967840735069,0.2373660030627871,56.00000000000001,34.7,31.0,8.9,130.60000000000002,0.46938775510204084,77.18989280245022,207.1868300153139
Cassius Winston,2020-21,132.5,0.10612244897959183,0.08452830188679245,0.4377358490566038,0.12830188679245283,0.34943396226415097,58.0,17.0,46.300000000000004,11.2,132.5,0.24693877551020407,76.73132075471696,205.428679245283
Cedi Osman,2020-21,2022.2,0.45714285714285713,0.08920977153595096,0.4081198694491149,0.2801404411037484,0.22252991791118587,825.3000000000001,566.5,450.0,180.4,2022.1999999999998,0.7061224489795919,77.59697359311642,211.1031549797251
Chandler Hutchison,2020-21,503.0,0.5551020408163265,0.12266401590457257,0.3343936381709742,0.3320079522862823,0.21093439363817099,168.20000000000002,167.0,106.10000000000001,61.7,503.0,0.9142857142857143,77.95506958250498,212.99940357852884
Charlie Brown Jr.,2020-21,214.8,0.08775510204081632,0.05726256983240223,0.38314711359404097,0.3235567970204841,0.23603351955307258,82.30000000000001,69.5,50.7,12.3,214.80000000000004,0.45714285714285713,76.93528864059589,207.33659217877087
Chasson Randle,2020-21,1161.2,0.2979591836734694,0.03909748535997245,0.27523251808474003,0.13253530830175683,0.5531346882535311,319.6000000000001,153.9,642.3000000000002,45.4,1161.1999999999998,0.0163265306122449,75.62814330003445,199.76067860833624
Chimezie Metu,2020-21,670.9,0.22448979591836735,0.28499031152183635,0.1870621553137576,0.43627962438515433,0.09166790877925177,125.49999999999999,292.70000000000005,61.50000000000001,191.2,670.9,0.573469387755102,79.78014607244002,227.74973915635712
Chris Boucher,2020-21,1891.0,0.3448979591836735,0.31052353252247483,0.26234796404019034,0.3098360655737704,0.11729243786356426,496.09999999999997,585.8999999999999,221.8,587.1999999999999,1891.0,0.9510204081632653,79.49740877842412,225.75959809624536
Chris Chiozza,2020-21,296.9,0.15510204081632653,0.05725833614011451,0.3479285954866958,0.1758167733243516,0.4189962950488379,103.3,52.2,124.39999999999999,17.0,296.90000000000003,0.24285714285714285,76.05018524755808,204.67766924890535
Chris Paul,2020-21,2907.2,0.46122448979591835,0.06717804072647221,0.4138346175013759,0.2189735828288388,0.30001375894331317,1203.1,636.6000000000001,872.1999999999999,195.29999999999998,2907.2,0.47551020408163264,77.0144812878371,207.6905269675289
Chris Silva,2020-21,129.3,0.6142857142857143,0.5823665893271464,0.1345707656612529,0.21423047177107502,0.06883217324052592,17.4,27.699999999999996,8.9,75.30000000000001,129.29999999999998,0.026530612244897958,81.19876256767209,240.73395204949733
Christian Wood,2020-21,1834.8,0.5244897959183673,0.370176586003924,0.22378460867669497,0.2973621103117505,0.10867669500763023,410.6,545.6,199.4,679.1999999999999,1834.8000000000004,0.8673469387755102,79.93083714846303,229.24918247220398
Chuma Okeke,2020-21,1534.1,0.3489795918367347,0.1329769897659866,0.3512156964995763,0.4300241183755948,0.08578319535884232,538.8,659.6999999999999,131.6,204.00000000000003,1534.1,0.2857142857142857,78.7708102470504,219.95619581513594
Clint Capela,2020-21,2573.2,0.6387755102040816,0.5226177522151408,0.10854189336235039,0.28707445981657087,0.08176589460593817,279.3,738.7,210.40000000000006,1344.8000000000002,2573.2,0.0836734693877551,80.9303202238458,237.37416446448003
Coby White,2020-21,2949.9,0.6326530612244898,0.05101867859927456,0.3100444082850266,0.12010576629716263,0.5188311468185363,914.5999999999999,354.3,1530.4999999999998,150.5,2949.8999999999996,0.0326530612244898,75.89921692260756,201.14268280280692
Cody Martin,2020-21,1149.8,0.7183673469387755,0.10610540963645854,0.2990085232214299,0.29970429639937385,0.29518177074273794,343.80000000000007,344.6,339.4000000000001,122.00000000000001,1149.8,0.9224489795918367,77.56496782049052,211.9795616628979
Cody Zeller,2020-21,1348.0,0.7326530612244898,0.46906528189910984,0.16639465875370915,0.25845697329376854,0.10608308605341246,224.29999999999995,348.40000000000003,143.0,632.3000000000001,1348.0,0.47959183673469385,80.37759643916915,235.91112759643914
Cole Anthony,2020-21,1740.3,0.7714285714285715,0.06883870597023502,0.33534448083663737,0.1126242601850256,0.4831925530081021,583.6,196.00000000000003,840.9000000000001,119.8,1740.3,0.09591836734693877,76.07102223754525,201.84042981095214
Collin Sexton,2020-21,2770.8,0.6183673469387755,0.06323083585967951,0.4294066695539195,0.183232279486069,0.324130215100332,1189.8000000000002,507.7,898.1,175.2,2770.8,0.3163265306122449,76.80846686877435,206.72296809585677
Cory Joseph,2020-21,1972.3,0.9142857142857143,0.0700704760939005,0.347614460274806,0.16934543426456422,0.41296962936672915,685.6,334.00000000000006,814.5,138.2,1972.3000000000002,0.3469387755102041,76.59798205141206,206.62657810677885
